#23456123456789ABCD123456789ABCD123456789ABCD123456789ABCD123456789ABCD123456789ABCDE123456789A123456789A1234567891234
 7520 HC4N(gr)     PHOTON       HC4N                                                  3.14E-10  1.00E-03  0.00E+00 -23
 7521 HC6N         GRAIN        HC6N(gr)     GRAIN                                    3.14E-10  8.70E+01  1.00E+00  20
 7522 HC6N(gr)     TEMP         HC6N                                                  1.01E+03  8.70E+01  1.50E+15  21
 7523 HC6N(gr)     C-RAY        HC6N                                                  1.01E+03  8.70E+01  1.50E+15  22
 7524 HC6N(gr)     PHOTON       HC6N                                                  3.14E-10  1.00E-03  0.00E+00 -23
 7525 HC7N         GRAIN        HC7N(gr)     GRAIN                                    3.14E-10  9.90E+01  1.00E+00  20
 7526 HC7N(gr)     TEMP         HC7N                                                  9.01E+03  9.90E+01  1.50E+15  21
 7527 HC7N(gr)     C-RAY        HC7N                                                  9.01E+03  9.90E+01  1.50E+15  22
 7528 HC7N(gr)     PHOTON       HC7N                                                  3.14E-10  1.00E-03  0.00E+00 -23
 7529 HC8N         GRAIN        HC8N(gr)     GRAIN                                    3.14E-10  1.11E+02  1.00E+00  20
 7530 HC8N(gr)     TEMP         HC8N                                                  1.01E+03  1.11E+02  1.50E+15  21
 7531 HC8N(gr)     C-RAY        HC8N                                                  1.01E+03  1.11E+02  1.50E+15  22
 7532 HC8N(gr)     PHOTON       HC8N                                                  3.14E-10  1.00E-03  0.00E+00 -23
 7533 HC10N        GRAIN        HC10N(gr)    GRAIN                                    3.14E-10  2.70E+01  1.00E+00  20
 7534 HC10N(gr)    TEMP         HC10N                                                 1.01E+03  2.70E+01  1.50E+15  21
 7535 HC10N(gr)    C-RAY        HC10N                                                 1.01E+03  2.70E+01  1.50E+15  22
 7536 HC10N(gr)    PHOTON       HC10N                                                 3.14E-10  1.00E-03  0.00E+00 -23
 7537 HC11N        GRAIN        HC11N(gr)    GRAIN                                    3.14E-10  2.70E+01  1.00E+00  20
 7538 HC11N(gr)    TEMP         HC11N                                                 1.01E+03  2.70E+01  1.50E+15  21
 7539 HC11N(gr)    C-RAY        HC11N                                                 1.01E+03  2.70E+01  1.50E+15  22
 7540 HC11N(gr)    PHOTON       HC11N                                                 3.14E-10  1.00E-03  0.00E+00 -23
 7541 HC12N        GRAIN        HC12N(gr)    GRAIN                                    3.14E-10  2.70E+01  1.00E+00  20
 7542 HC12N(gr)    TEMP         HC12N                                                 1.01E+03  2.70E+01  1.50E+15  21
 7543 HC12N(gr)    C-RAY        HC12N                                                 1.01E+03  2.70E+01  1.50E+15  22
 7544 HC12N(gr)    PHOTON       HC12N                                                 3.14E-10  1.00E-03  0.00E+00 -23
 7545 HC13N        GRAIN        HC13N(gr)    GRAIN                                    3.14E-10  2.70E+01  1.00E+00  20
 7546 HC13N(gr)    TEMP         HC13N                                                 1.01E+03  2.70E+01  1.50E+15  21
 7547 HC13N(gr)    C-RAY        HC13N                                                 1.01E+03  2.70E+01  1.50E+15  22
 7548 HC13N(gr)    PHOTON       HC13N                                                 3.14E-10  1.00E-03  0.00E+00 -23
 7549 C2H6CO       GRAIN        C2H6CO(gr)   GRAIN                                    3.14E-10  5.80E+01  1.00E+00  20
 7550 C2H6CX       GRAIN        C2H6CX(gr)   GRAIN                                    3.14E-10  5.80E+01  1.00E+00  20
 7551 C2H6CO(gr)   TEMP         C2H6CO                                                5.89E+03  5.80E+01  1.50E+15  21
 7552 C2H6CX(gr)   TEMP         C2H6CX                                                5.89E+03  5.80E+01  1.50E+15  21
 7553 C2H6CO(gr)   C-RAY        C2H6CO                                                5.89E+03  5.80E+01  1.50E+15  22
 7554 C2H6CX(gr)   C-RAY        C2H6CX                                                5.89E+03  5.80E+01  1.50E+15  22
 7555 C2H6CO(gr)   PHOTON       C2H6CO                                                3.14E-10  1.00E-03  0.00E+00 -23
 7556 C2H6CX(gr)   PHOTON       C2H6CX                                                3.14E-10  1.00E-03  0.00E+00 -23
 7557 C8H2         GRAIN        C8H2(gr)     GRAIN                                    3.14E-10  9.80E+01  1.00E+00  20
 7558 C8H2(gr)     TEMP         C8H2                                                  8.93E+03  9.80E+01  1.50E+15  21
 7559 C8H2(gr)     C-RAY        C8H2                                                  8.93E+03  9.80E+01  1.50E+15  22
 7560 C8H2(gr)     PHOTON       C8H2                                                  3.14E-10  1.00E-03  0.00E+00 -23
 7561 C9H          GRAIN        C9H(gr)      GRAIN                                    3.14E-10  1.09E+02  1.00E+00  20
 7562 C9H(gr)      TEMP         C9H                                                   9.84E+03  1.09E+02  1.50E+15  21
 7563 C9H(gr)      C-RAY        C9H                                                   9.84E+03  1.09E+02  1.50E+15  22
 7564 C9H(gr)      PHOTON       C9H                                                   3.14E-10  1.00E-03  0.00E+00 -23
 7565 C10          GRAIN        C10(gr)      GRAIN                                    3.14E-10  1.20E+01  1.00E+00  20
 7566 C10(gr)      TEMP         C10                                                   1.01E+03  1.20E+01  1.50E+15  21
 7567 C10(gr)      C-RAY        C10                                                   1.01E+03  1.20E+01  1.50E+15  22
 7568 C10(gr)      PHOTON       C10                                                   3.14E-10  1.00E-03  0.00E+00 -23
 7569 C11          GRAIN        C11(gr)      GRAIN                                    3.14E-10  1.20E+01  1.00E+00  20
 7570 C11(gr)      TEMP         C11                                                   1.01E+03  1.20E+01  1.50E+15  21
 7571 C11(gr)      C-RAY        C11                                                   1.01E+03  1.20E+01  1.50E+15  22
 7572 C11(gr)      PHOTON       C11                                                   3.14E-10  1.00E-03  0.00E+00 -23
 7573 C9N          GRAIN        C9N(gr)      GRAIN                                    3.14E-10  1.22E+02  1.00E+00  20
 7574 C9N(gr)      TEMP         C9N                                                   1.06E+04  1.22E+02  1.50E+15  21
 7575 C9N(gr)      C-RAY        C9N                                                   1.06E+04  1.22E+02  1.50E+15  22
 7576 C9N(gr)      PHOTON       C9N                                                   3.14E-10  1.00E-03  0.00E+00 -23
 7577 CH3C5N       GRAIN        CH3C5N(gr)   GRAIN                                    3.14E-10  8.90E+01  1.00E+00  20
 7578 CH3C5N(gr)   TEMP         CH3C5N                                                1.01E+03  8.90E+01  1.50E+15  21
 7579 CH3C5N(gr)   C-RAY        CH3C5N                                                1.01E+03  8.90E+01  1.50E+15  22
 7580 CH3C5N(gr)   PHOTON       CH3C5N                                                3.14E-10  1.00E-03  0.00E+00 -23
 7581 C9H2         GRAIN        C9H2(gr)     GRAIN                                    3.14E-10  1.10E+02  1.00E+00  20
 7582 C9H2(gr)     TEMP         C9H2                                                  1.03E+04  1.10E+02  1.50E+15  21
 7583 C9H2(gr)     C-RAY        C9H2                                                  1.03E+04  1.10E+02  1.50E+15  22
 7584 C9H2(gr)     PHOTON       C9H2                                                  3.14E-10  1.00E-03  0.00E+00 -23
 7585 CH3C6H       GRAIN        CH3C6H(gr)   GRAIN                                    3.14E-10  8.80E+01  1.00E+00  20
 7586 CH3C6H(gr)   TEMP         CH3C6H                                                1.01E+03  8.80E+01  1.50E+15  21
 7587 CH3C6H(gr)   C-RAY        CH3C6H                                                1.01E+03  8.80E+01  1.50E+15  22
 7588 CH3C6H(gr)   PHOTON       CH3C6H                                                3.14E-10  1.00E-03  0.00E+00 -23
 7589 HC9N         GRAIN        HC9N(gr)     GRAIN                                    3.14E-10  1.23E+02  1.00E+00  20
 7590 HC9N(gr)     TEMP         HC9N                                                  1.10E+04  1.23E+02  1.50E+15  21
 7591 HC9N(gr)     C-RAY        HC9N                                                  1.10E+04  1.23E+02  1.50E+15  22
 7592 HC9N(gr)     PHOTON       HC9N                                                  3.14E-10  1.00E-03  0.00E+00 -23
 7593 CH3C7N       GRAIN        CH3C7N(gr)   GRAIN                                    3.14E-10  1.13E+02  1.00E+00  20
 7594 CH3C7N(gr)   TEMP         CH3C7N                                                1.01E+03  1.13E+02  1.50E+15  21
 7595 CH3C7N(gr)   C-RAY        CH3C7N                                                1.01E+03  1.13E+02  1.50E+15  22
 7596 CH3C7N(gr)   PHOTON       CH3C7N                                                3.14E-10  1.00E-03  0.00E+00 -23
 7597 C6H6         GRAIN        C6H6(gr)     GRAIN                                    3.14E-10  7.80E+01  1.00E+00  20
 7598 C6H6(gr)     TEMP         C6H6                                                  1.01E+03  7.80E+01  1.50E+15  21
 7599 C6H6(gr)     C-RAY        C6H6                                                  1.01E+03  7.80E+01  1.50E+15  22
 7600 C6H6(gr)     PHOTON       C6H6                                                  3.14E-10  1.00E-03  0.00E+00 -23
 7601 H2C3         GRAIN        H2C3(gr)     GRAIN                                    3.14E-10  3.80E+01  1.00E+00  20
 7602 H2C3(gr)     TEMP         H2C3                                                  2.14E+03  3.80E+01  1.50E+15  21
 7603 H2C3(gr)     C-RAY        H2C3                                                  2.14E+03  3.80E+01  1.50E+15  22
 7604 H2C3(gr)     PHOTON       H2C3                                                  3.14E-10  1.00E-03  0.00E+00 -23
 7605 HC3          GRAIN        HC3(gr)      GRAIN                                    3.14E-10  3.70E+01  1.00E+00  20
 7606 HC3(gr)      TEMP         HC3                                                   1.01E+03  3.70E+01  1.50E+15  21
 7607 HC3(gr)      C-RAY        HC3                                                   1.01E+03  3.70E+01  1.50E+15  22
 7608 HC3(gr)      PHOTON       HC3                                                   3.14E-10  1.00E-03  0.00E+00 -23
 7609 H2           GRAIN        H2(gr)       GRAIN                                    3.14E-10  2.00E+00  0.00E+00  20
 7610 H2(gr)       TEMP         H2                                                    3.15E+02  2.00E+00  1.50E+15  21
 7611 H2(gr)       C-RAY        H2                                                    3.15E+02  2.00E+00  1.50E+15  22
 7612 H2(gr)       PHOTON       H2                                                    3.14E-10  1.00E-03  0.00E+00 -23
 7613 CH(gr)       LYAPHOTON    CH                                                    3.14E-10  9.82E-06  0.00E+00 -24
 7614 CH2(gr)      LYAPHOTON    CH2                                                   3.14E-10  9.82E-06  0.00E+00 -24
 7615 CH4(gr)      LYAPHOTON    CH4                                                   3.14E-10  3.53E-03  0.00E+00 -24
 7616 C2(gr)       LYAPHOTON    C2                                                    3.14E-10  9.82E-04  0.00E+00 -24
 7617 C3(gr)       LYAPHOTON    C3                                                    3.14E-10  1.96E-04  0.00E+00 -24
 7618 C2H(gr)      LYAPHOTON    C2H                                                   3.14E-10  1.96E-04  0.00E+00 -24
 7619 C2H2(gr)     LYAPHOTON    C2H2                                                  3.14E-10  7.85E-03  0.00E+00 -24
 7620 C4H2(gr)     LYAPHOTON    C4H2                                                  3.14E-10  6.87E-03  0.00E+00 -24
 7621 OH(gr)       LYAPHOTON    OH                                                    3.14E-10  3.53E-04  0.00E+00 -24
 7622 XH(gr)       LYAPHOTON    XH                                                    3.14E-10  3.53E-04  0.00E+00 -24
 7623 H2O(gr)      LYAPHOTON    H2O                                                   0.00E+00  1.15E-03  0.00E+00 -24
 7624 H2X(gr)      LYAPHOTON    H2X                                                   0.00E+00  1.15E-03  0.00E+00 -24
 7625 H2O(gr)      LYAPHOTON    OH           H                                        0.00E+00  1.21E-03  0.00E+00 -24
 7626 H2X(gr)      LYAPHOTON    XH           H                                        0.00E+00  1.21E-03  0.00E+00 -24
 7627 O2(gr)       LYAPHOTON    O2                                                    3.14E-10  1.96E-06  0.00E+00 -24
 7628 OX(gr)       LYAPHOTON    OX                                                    3.14E-10  1.96E-06  0.00E+00 -24
 7629 CO2(gr)      LYAPHOTON    CO2                                                   3.14E-10  1.20E-05  0.00E+00 -24
 7630 COX(gr)      LYAPHOTON    COX                                                   3.14E-10  1.20E-05  0.00E+00 -24
 7631 H2CO(gr)     LYAPHOTON    H2CO                                                  3.14E-10  1.96E-03  0.00E+00 -24
 7632 H2CX(gr)     LYAPHOTON    H2CX                                                  3.14E-10  1.96E-03  0.00E+00 -24
 7633 NH(gr)       LYAPHOTON    NH                                                    3.14E-10  1.96E-04  0.00E+00 -24
 7634 NH3(gr)      LYAPHOTON    NH3                                                   3.14E-10  1.96E-03  0.00E+00 -24
 7635 HCN(gr)      LYAPHOTON    HCN                                                   3.14E-10  5.89E-03  0.00E+00 -24
 7636 HC3N(gr)     LYAPHOTON    HC3N                                                  3.14E-10  4.91E-03  0.00E+00 -24
 7637 NO(gr)       LYAPHOTON    NO                                                    3.14E-10  7.85E-05  0.00E+00 -24
 7638 NX(gr)       LYAPHOTON    NX                                                    3.14E-10  7.85E-05  0.00E+00 -24
 7639 H2S(gr)      LYAPHOTON    H2S                                                   3.14E-10  6.48E-03  0.00E+00 -24
 7640 SO(gr)       LYAPHOTON    SO                                                    3.14E-10  1.96E-02  0.00E+00 -24
 7641 SX(gr)       LYAPHOTON    SX                                                    3.14E-10  1.96E-02  0.00E+00 -24
 7642 SO2(gr)      LYAPHOTON    SO2                                                   3.14E-10  5.89E-03  0.00E+00 -24
 7643 SOX(gr)      LYAPHOTON    SOX                                                   3.14E-10  5.89E-03  0.00E+00 -24
 7644 OCS(gr)      LYAPHOTON    OCS                                                   3.14E-10  2.95E-03  0.00E+00 -24
 7645 XCS(gr)      LYAPHOTON    XCS                                                   3.14E-10  2.95E-03  0.00E+00 -24
 7646 Cl+          GRAIN-       Cl           GRAIN0                                   3.14E-10  1.70E+01  1.00E+00  23
 7647 C2+          GRAIN-       C            C            GRAIN0                      3.14E-10  2.40E+01  1.00E+00  23
 7648 CCl+         GRAIN-       C            Cl           GRAIN0                      3.14E-10  2.90E+01  1.00E+00  23
 7649 CF+          GRAIN-       C            F            GRAIN0                      3.14E-10  3.10E+01  1.00E+00  23
 7650 CH+          GRAIN-       C            H            GRAIN0                      3.14E-10  1.30E+01  1.00E+00  23
 7651 ClO+         GRAIN-       Cl           O            GRAIN0                      3.14E-10  3.30E+01  1.00E+00  23
 7652 ClX+         GRAIN-       Cl           X            GRAIN0                      3.14E-10  3.30E+01  1.00E+00  23
 7653 CN+          GRAIN-       C            N            GRAIN0                      3.14E-10  2.60E+01  1.00E+00  23
 7654 CO+          GRAIN-       O            C            GRAIN0                      3.14E-10  2.80E+01  1.00E+00  23
 7655 CX+          GRAIN-       X            C            GRAIN0                      3.14E-10  2.80E+01  1.00E+00  23
 7656 CP+          GRAIN-       P            C            GRAIN0                      3.14E-10  2.70E+01  1.00E+00  23
 7657 CS+          GRAIN-       C            S            GRAIN0                      3.14E-10  4.40E+01  1.00E+00  23
 7658 H2+          GRAIN-       H            H            GRAIN0                      3.14E-10  2.00E+00  4.58E-01  23
 7659 HCl+         GRAIN-       H            Cl           GRAIN0                      3.14E-10  1.80E+01  1.00E+00  23
 7660 HF+          GRAIN-       H            F            GRAIN0                      3.14E-10  2.00E+01  1.00E+00  23
 7661 HeH+         GRAIN-       H            He           GRAIN0                      3.14E-10  5.00E+00  1.00E+00  23
 7662 HS+          GRAIN-       S            H            GRAIN0                      3.14E-10  3.30E+01  1.00E+00  23
 7663 N2+          GRAIN-       N            N            GRAIN0                      3.14E-10  2.80E+01  1.00E+00  23
 7664 NH+          GRAIN-       N            H            GRAIN0                      3.14E-10  1.50E+01  1.00E+00  23
 7665 NO+          GRAIN-       N            O            GRAIN0                      3.14E-10  3.00E+01  1.00E+00  23
 7666 NX+          GRAIN-       N            X            GRAIN0                      3.14E-10  3.00E+01  1.00E+00  23
 7667 NS+          GRAIN-       N            S            GRAIN0                      3.14E-10  4.60E+01  1.00E+00  23
 7668 O2+          GRAIN-       O            O            GRAIN0                      3.14E-10  3.20E+01  1.00E+00  23
 7669 OX+          GRAIN-       X            O            GRAIN0                      3.14E-10  3.20E+01  1.00E+00  23
 7670 OH+          GRAIN-       O            H            GRAIN0                      3.14E-10  1.70E+01  1.00E+00  23
 7671 XH+          GRAIN-       X            H            GRAIN0                      3.14E-10  1.70E+01  1.00E+00  23
 7672 PH+          GRAIN-       P            H            GRAIN0                      3.14E-10  1.60E+01  1.00E+00  23
 7673 PN+          GRAIN-       P            N            GRAIN0                      3.14E-10  2.90E+01  1.00E+00  23
 7674 PO+          GRAIN-       P            O            GRAIN0                      3.14E-10  3.10E+01  1.00E+00  23
 7675 PX+          GRAIN-       P            X            GRAIN0                      3.14E-10  3.10E+01  1.00E+00  23
 7676 S2+          GRAIN-       S            S            GRAIN0                      3.14E-10  6.40E+01  1.00E+00  23
 7677 SiC+         GRAIN-       Si           C            GRAIN0                      3.14E-10  4.00E+01  1.00E+00  23
 7678 SiH+         GRAIN-       Si           H            GRAIN0                      3.14E-10  2.90E+01  1.00E+00  23
 7679 SiN+         GRAIN-       Si           N            GRAIN0                      3.14E-10  4.20E+01  1.00E+00  23
 7680 SiO+         GRAIN-       Si           O            GRAIN0                      3.14E-10  4.40E+01  1.00E+00  23
 7681 SiX+         GRAIN-       Si           X            GRAIN0                      3.14E-10  4.40E+01  1.00E+00  23
 7682 SiS+         GRAIN-       Si           S            GRAIN0                      3.14E-10  6.00E+01  1.00E+00  23
 7683 SiF+         GRAIN-       Si           F            GRAIN0                      3.14E-10  4.70E+01  1.00E+00  23
 7684 SO+          GRAIN-       O            S            GRAIN0                      3.14E-10  4.80E+01  1.00E+00  23
 7685 SX+          GRAIN-       X            S            GRAIN0                      3.14E-10  4.80E+01  1.00E+00  23
 7686 C2H+         GRAIN-       C2           H            GRAIN0                      3.14E-10  2.50E+01  4.31E-01  23
 7687 C2H+         GRAIN-       CH           C            GRAIN0                      3.14E-10  2.50E+01  3.90E-01  23
 7688 C2H+         GRAIN-       C            C            H            GRAIN0         3.14E-10  2.50E+01  1.78E-01  23
 7689 C2N+         GRAIN-       C            CN           GRAIN0                      3.14E-10  3.80E+01  5.00E-01  23
 7690 C2N+         GRAIN-       C2           N            GRAIN0                      3.14E-10  3.80E+01  5.00E-01  23
 7691 C2O+         GRAIN-       CO           C            GRAIN0                      3.14E-10  4.00E+01  1.00E+00  23
 7692 C2X+         GRAIN-       CX           C            GRAIN0                      3.14E-10  4.00E+01  1.00E+00  23
 7693 C2S+         GRAIN-       C2           S            GRAIN0                      3.14E-10  5.60E+01  5.00E-01  23
 7694 C2S+         GRAIN-       CS           C            GRAIN0                      3.14E-10  5.60E+01  5.00E-01  23
 7695 C3+          GRAIN-       C2           C            GRAIN0                      3.14E-10  3.60E+01  1.00E+00  23
 7696 CCP+         GRAIN-       P            C2           GRAIN0                      3.14E-10  3.90E+01  5.00E-01  23
 7697 CCP+         GRAIN-       CP           C            GRAIN0                      3.14E-10  3.90E+01  5.00E-01  23
 7698 CH2+         GRAIN-       C            H2           GRAIN0                      3.14E-10  1.40E+01  1.21E-01  23
 7699 CH2+         GRAIN-       CH           H            GRAIN0                      3.14E-10  1.40E+01  2.51E-01  23
 7700 CH2+         GRAIN-       C            H            H            GRAIN0         3.14E-10  1.40E+01  6.28E-01  23
 7701 CHSi+        GRAIN-       Si           CH           GRAIN0                      3.14E-10  4.10E+01  5.00E-01  23
 7702 CHSi+        GRAIN-       SiC          H            GRAIN0                      3.14E-10  4.10E+01  5.00E-01  23
 7703 CNC+         GRAIN-       CN           C            GRAIN0                      3.14E-10  3.80E+01  1.00E+00  23
 7704 CO2+         GRAIN-       O            CO           GRAIN0                      3.14E-10  4.40E+01  1.00E+00  23
 7705 COX+         GRAIN-       X            CO           GRAIN0                      1.57E-10  4.40E+01  1.00E+00  23
 7706 COX+         GRAIN-       O            CX           GRAIN0                      1.57E-10  4.40E+01  1.00E+00  23
 7707 H2Cl+        GRAIN-       Cl           H            H            GRAIN0         3.14E-10  1.90E+01  9.00E-01  23
 7708 H2Cl+        GRAIN-       HCl          H            GRAIN0                      3.14E-10  1.90E+01  1.00E-01  23
 7709 H2F+         GRAIN-       F            H            H            GRAIN0         3.14E-10  2.10E+01  5.00E-01  23
 7710 H2F+         GRAIN-       HF           H            GRAIN0                      3.14E-10  2.10E+01  5.00E-01  23
 7711 H2O+         GRAIN-       O            H2           GRAIN0                      3.14E-10  1.80E+01  9.07E-02  23
 7712 H2X+         GRAIN-       X            H2           GRAIN0                      3.14E-10  1.80E+01  9.07E-02  23
 7713 H2O+         GRAIN-       OH           H            GRAIN0                      3.14E-10  1.80E+01  2.00E-01  23
 7714 H2X+         GRAIN-       XH           H            GRAIN0                      3.14E-10  1.80E+01  2.00E-01  23
 7715 H2O+         GRAIN-       O            H            H            GRAIN0         3.14E-10  1.80E+01  7.09E-01  23
 7716 H2X+         GRAIN-       X            H            H            GRAIN0         3.14E-10  1.80E+01  7.09E-01  23
 7717 H2S+         GRAIN-       S            H            H            GRAIN0         3.14E-10  3.40E+01  4.37E-01  23
 7718 H2S+         GRAIN-       HS           H            GRAIN0                      3.14E-10  3.40E+01  4.37E-01  23
 7719 HCN+         GRAIN-       CN           H            GRAIN0                      3.14E-10  2.70E+01  1.00E+00  23
 7720 HCO+         GRAIN-       OH           C            GRAIN0                      3.14E-10  2.90E+01  3.85E-02  23
 7721 HCX+         GRAIN-       XH           C            GRAIN0                      3.14E-10  2.90E+01  3.85E-02  23
 7722 HCO+         GRAIN-       CH           O            GRAIN0                      3.14E-10  2.90E+01  3.85E-02  23
 7723 HCX+         GRAIN-       CH           X            GRAIN0                      3.14E-10  2.90E+01  3.85E-02  23
 7724 HCP+         GRAIN-       P            CH           GRAIN0                      3.14E-10  2.80E+01  5.00E-01  23
 7725 HCP+         GRAIN-       CP           H            GRAIN0                      3.14E-10  2.80E+01  5.00E-01  23
 7726 HCS+         GRAIN-       CS           H            GRAIN0                      3.14E-10  4.50E+01  1.90E-01  23
 7727 HCS+         GRAIN-       CH           S            GRAIN0                      3.14E-10  4.50E+01  8.10E-01  23
 7728 HNC+         GRAIN-       CN           H            GRAIN0                      3.14E-10  2.70E+01  1.00E+00  23
 7729 HNO+         GRAIN-       NO           H            GRAIN0                      3.14E-10  3.10E+01  1.00E+00  23
 7730 HNX+         GRAIN-       NX           H            GRAIN0                      3.14E-10  3.10E+01  1.00E+00  23
 7731 HNS+         GRAIN-       NS           H            GRAIN0                      3.14E-10  4.70E+01  1.00E+00  23
 7732 HNSi+        GRAIN-       NH           Si           GRAIN0                      3.14E-10  4.30E+01  5.00E-01  23
 7733 HNSi+        GRAIN-       SiN          H            GRAIN0                      3.14E-10  4.30E+01  5.00E-01  23
 7734 HOC+         GRAIN-       CO           H            GRAIN0                      3.14E-10  2.90E+01  1.00E+00  23
 7735 HXC+         GRAIN-       CX           H            GRAIN0                      3.14E-10  2.90E+01  1.00E+00  23
 7736 HPN+         GRAIN-       PH           N            GRAIN0                      3.14E-10  3.00E+01  5.00E-01  23
 7737 HPN+         GRAIN-       PN           H            GRAIN0                      3.14E-10  3.00E+01  5.00E-01  23
 7738 HPO+         GRAIN-       PH           O            GRAIN0                      3.14E-10  3.20E+01  5.00E-01  23
 7739 HPX+         GRAIN-       PH           X            GRAIN0                      3.14E-10  3.20E+01  5.00E-01  23
 7740 HPO+         GRAIN-       PO           H            GRAIN0                      3.14E-10  3.20E+01  5.00E-01  23
 7741 HPX+         GRAIN-       PX           H            GRAIN0                      3.14E-10  3.20E+01  5.00E-01  23
 7742 HSiO+        GRAIN-       Si           OH           GRAIN0                      3.14E-10  4.50E+01  5.00E-01  23
 7743 HSiX+        GRAIN-       Si           XH           GRAIN0                      3.14E-10  4.50E+01  5.00E-01  23
 7744 HSiO+        GRAIN-       SiO          H            GRAIN0                      3.14E-10  4.50E+01  5.00E-01  23
 7745 HSiX+        GRAIN-       SiX          H            GRAIN0                      3.14E-10  4.50E+01  5.00E-01  23
 7746 HSiS+        GRAIN-       Si           HS           GRAIN0                      3.14E-10  6.10E+01  5.00E-01  23
 7747 HSiS+        GRAIN-       SiS          H            GRAIN0                      3.14E-10  6.10E+01  5.00E-01  23
 7748 HSO+         GRAIN-       SO           H            GRAIN0                      3.14E-10  4.90E+01  1.00E+00  23
 7749 HSX+         GRAIN-       SX           H            GRAIN0                      3.14E-10  4.90E+01  1.00E+00  23
 7750 N2H+         GRAIN-       N2           H            GRAIN0                      3.14E-10  2.90E+01  3.60E-01  23
 7751 N2H+         GRAIN-       NH           N            GRAIN0                      3.14E-10  2.90E+01  6.40E-01  23
 7752 NaH2+        GRAIN-       Na           H2           GRAIN0                      3.14E-10  2.50E+01  5.00E-01  23
 7753 NaH2+        GRAIN-       NaH          H            GRAIN0                      3.14E-10  2.50E+01  5.00E-01  23
 7754 NCO+         GRAIN-       CO           N            GRAIN0                      3.14E-10  4.20E+01  1.00E+00  23
 7755 NCX+         GRAIN-       CX           N            GRAIN0                      3.14E-10  4.20E+01  1.00E+00  23
 7756 NH2+         GRAIN-       N            H            H            GRAIN0         3.14E-10  1.60E+01  6.67E-01  23
 7757 NH2+         GRAIN-       NH           H            GRAIN0                      3.14E-10  1.60E+01  3.33E-01  23
 7758 NO2+         GRAIN-       O            NO           GRAIN0                      3.14E-10  4.60E+01  1.00E+00  23
 7759 NOX+         GRAIN-       X            NO           GRAIN0                      1.57E-10  4.60E+01  1.00E+00  23
 7760 NOX+         GRAIN-       O            NX           GRAIN0                      1.57E-10  4.60E+01  1.00E+00  23
 7761 O2H+         GRAIN-       O2           H            GRAIN0                      3.14E-10  3.30E+01  1.00E+00  23
 7762 OXH+         GRAIN-       OX           H            GRAIN0                      3.14E-10  3.30E+01  1.00E+00  23
 7763 OCS+         GRAIN-       CO           S            GRAIN0                      3.14E-10  6.00E+01  8.32E-01  23
 7764 XCS+         GRAIN-       CX           S            GRAIN0                      3.14E-10  6.00E+01  8.32E-01  23
 7765 OCS+         GRAIN-       CS           O            GRAIN0                      3.14E-10  6.00E+01  1.38E-01  23
 7766 XCS+         GRAIN-       CS           X            GRAIN0                      3.14E-10  6.00E+01  1.38E-01  23
 7767 OCS+         GRAIN-       C            SO           GRAIN0                      3.14E-10  6.00E+01  3.01E-02  23
 7768 XCS+         GRAIN-       C            SX           GRAIN0                      3.14E-10  6.00E+01  3.01E-02  23
 7769 PH2+         GRAIN-       P            H2           GRAIN0                      3.14E-10  1.70E+01  5.00E-01  23
 7770 PH2+         GRAIN-       PH           H            GRAIN0                      3.14E-10  1.70E+01  5.00E-01  23
 7771 S2H+         GRAIN-       HS           S            GRAIN0                      3.14E-10  6.50E+01  5.00E-01  23
 7772 S2H+         GRAIN-       S2           H            GRAIN0                      3.14E-10  6.50E+01  5.00E-01  23
 7773 SiC2+        GRAIN-       Si           C2           GRAIN0                      3.14E-10  5.20E+01  5.00E-01  23
 7774 SiC2+        GRAIN-       SiC          C            GRAIN0                      3.14E-10  5.20E+01  5.00E-01  23
 7775 SiH2+        GRAIN-       Si           H            H            GRAIN0         3.14E-10  3.00E+01  3.64E-01  23
 7776 SiH2+        GRAIN-       Si           H2           GRAIN0                      3.14E-10  3.00E+01  2.73E-01  23
 7777 SiH2+        GRAIN-       SiH          H            GRAIN0                      3.14E-10  3.00E+01  3.64E-01  23
 7778 SiNC+        GRAIN-       Si           CN           GRAIN0                      3.14E-10  5.40E+01  1.00E+00  23
 7779 SO2+         GRAIN-       SO           O            GRAIN0                      3.14E-10  6.40E+01  1.00E+00  23
 7780 SOX+         GRAIN-       SX           O            GRAIN0                      1.57E-10  6.40E+01  1.00E+00  23
 7781 SOX+         GRAIN-       SO           X            GRAIN0                      1.57E-10  6.40E+01  1.00E+00  23
 7782 C2H2+        GRAIN-       C2H          H            GRAIN0                      3.14E-10  2.60E+01  5.04E-01  23
 7783 C2H2+        GRAIN-       C2           H            H            GRAIN0         3.14E-10  2.60E+01  2.95E-01  23
 7784 C2H2+        GRAIN-       CH           CH           GRAIN0                      3.14E-10  2.60E+01  1.30E-01  23
 7785 C2H2+        GRAIN-       CH2          C            GRAIN0                      3.14E-10  2.60E+01  5.02E-02  23
 7786 C2H2+        GRAIN-       C2           H2           GRAIN0                      3.14E-10  2.60E+01  2.00E-02  23
 7787 C2HO+        GRAIN-       CO           C            H            GRAIN0         3.14E-10  4.10E+01  3.00E-01  23
 7788 C2HX+        GRAIN-       CX           C            H            GRAIN0         3.14E-10  4.10E+01  3.00E-01  23
