#23456123456789ABCD123456789ABCD123456789ABCD123456789ABCD123456789ABCD123456789ABCDE123456789A123456789A1234567891234
  299 C+           SiH          SiC+         H                                        3.78E-10 -5.00E-01  0.00E+00   2
  300 C+           SiN          SiC+         N                                        3.46E-09 -5.00E-01  0.00E+00   2
  301 C+           SiN          SiN+         C                                        3.46E-09 -5.00E-01  0.00E+00   2
  302 C+           SiO          Si+          CO                                       4.60E-09 -5.00E-01  0.00E+00   2
  303 C+           SiX          Si+          CX                                       4.60E-09 -5.00E-01  0.00E+00   2
  304 C+           SiS          SiC+         S                                        2.50E-09 -5.00E-01  0.00E+00   2
  305 C+           SiS          SiS+         C                                        2.50E-09 -5.00E-01  0.00E+00   2
  306 C+           SO           S+           CO                                       1.10E-09 -5.00E-01  0.00E+00   2
  307 C+           SX           S+           CX                                       1.10E-09 -5.00E-01  0.00E+00   2
  308 C+           SO           CO+          S                                        1.10E-09 -5.00E-01  0.00E+00   2
  309 C+           SX           CX+          S                                        1.10E-09 -5.00E-01  0.00E+00   2
  310 C+           SO           CS+          O                                        1.10E-09 -5.00E-01  0.00E+00   2
  311 C+           SX           CS+          X                                        1.10E-09 -5.00E-01  0.00E+00   2
  312 C+           SO           SO+          C                                        1.10E-09 -5.00E-01  0.00E+00   2
  313 C+           SX           SX+          C                                        1.10E-09 -5.00E-01  0.00E+00   2
  314 C+           C2H          C3+          H                                        2.60E-09 -5.00E-01  0.00E+00   2
  315 C+           C2S          C2S+         C                                        1.72E-09 -5.00E-01  0.00E+00   2
  316 C+           C2S          C3+          S                                        1.72E-09 -5.00E-01  0.00E+00   2
  317 C+           CCO          C2O+         C                                        3.93E-09 -5.00E-01  0.00E+00   2
  318 C+           CCX          C2X+         C                                        3.93E-09 -5.00E-01  0.00E+00   2
  319 C+           CCP          CP+          C2                                       1.46E-09 -5.00E-01  0.00E+00   2
  320 C+           CCP          CCP+         C                                        1.46E-09 -5.00E-01  0.00E+00   2
  321 C+           CH2          C2H+         H                                        4.34E-10 -5.00E-01  0.00E+00   2
  322 C+           CH2          CH2+         C                                        4.34E-10 -5.00E-01  0.00E+00   2
