!23456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789123456789123456789123456123456123121231212
C7H2        CRP                     C7H         H                                    2.28e-14 0.00e+00 0.00e+00              1
C8H         CRP                     C8          H                                    6.50e-14 0.00e+00 0.00e+00              1
C9          CRP                     C8          C                                    1.30e-14 0.00e+00 0.00e+00              1
CH3C4H      CRP                     CH3         C4H                                  1.95e-14 0.00e+00 0.00e+00              1
CH3OCH3     CRP                     H2CO        CH4                                  2.24e-14 0.00e+00 0.00e+00              1
CH3OCH3     CRP                     CH3OCH3+    E-                                   1.46e-14 0.00e+00 0.00e+00              1
HC7N        CRP                     C6H         CN                                   2.28e-14 0.00e+00 0.00e+00              1
C2H6CO      CRP                     C2H2O       CH4                                  1.95e-14 0.00e+00 0.00e+00              1
C8H2        CRP                     C8H         H                                    2.28e-14 0.00e+00 0.00e+00              1
C9H         CRP                     C9          H                                    6.50e-14 0.00e+00 0.00e+00              1
C9N         CRP                     C8          CN                                   2.28e-14 0.00e+00 0.00e+00              1
CH3C5N      CRP                     CH3         C5N                                  1.95e-14 0.00e+00 0.00e+00              1
C9H2        CRP                     C9H         H                                    2.28e-14 0.00e+00 0.00e+00              1
CH3C6H      CRP                     CH3         C6H                                  1.95e-14 0.00e+00 0.00e+00              1
CH3C7N      CRP                     CH3         C7N                                  1.95e-14 0.00e+00 0.00e+00              1
HC9N        CRP                     C8H         CN                                   2.28e-14 0.00e+00 0.00e+00              1
CH+         CRP                     C           H+                                   2.29e-15 0.00e+00 0.00e+00              1
C+          Fe                      Fe+         C                                    2.60e-09 0.00e+00 0.00e+00              2
C+          Mg                      Mg+         C                                    1.10e-09 0.00e+00 0.00e+00              2
C+          Na                      Na+         C                                    1.10e-09 0.00e+00 0.00e+00              2
C+          P                       P+          C                                    1.00e-09 0.00e+00 0.00e+00              2
C+          S                       S+          C                                    1.50e-09 0.00e+00 0.00e+00              2
C+          Si                      Si+         C                                    2.10e-09 0.00e+00 0.00e+00              2
C+          CCl                     CCl+        C                                    1.93e-09-5.00e-01 0.00e+00              2
C+          CH                      C2+         H                                    2.70e-09-5.00e-01 0.00e+00              2
C+          CH                      CH+         C                                    2.70e-09-5.00e-01 0.00e+00              2
C+          ClO                     ClO+        C                                    3.65e-09-5.00e-01 0.00e+00              2
C+          CP                      CP+         C                                    2.58e-09-5.00e-01 0.00e+00              2
C+          HCl                     CCl+        H                                    3.30e-09-5.00e-01 0.00e+00              2
C+          HF                      CF+         H                                    7.20e-09-1.50e-01 0.00e+00              2
